MPC ID,Securely Classified,Class,a_i,a_f,a_min,a_mean,a_max,a_sigma,a_delta,adot_min,adot_mean,adot_max,adot_delta,e_i,e_f,e_min,e_mean,e_max,e_sigma,e_delta,edot_min,edot_mean,edot_max,edot_delta,i_i,i_f,i_min,i_mean,i_max,i_sigma,i_delta,idot_min,idot_mean,idot_max,idot_delta,Om_i,Om_f,Om_min,Om_mean,Om_max,Om_sigma,Om_delta,Omdot_min,Omdot_mean,Omdot_max,Omdot_delta,o_i,o_f,o_min,o_mean,o_max,o_sigma,o_delta,odot_min,odot_mean,odot_max,odot_delta
K02GG6G, True,Scattering,3.441700e+01,3.650900e+01,3.417800e+01,3.612236e+01,3.701600e+01,6.376741e-01,2.838000e+00,-5.150000e-04,2.092083e-05,5.600000e-04,1.075000e-03,5.896000e-01,6.022900e-01,5.874600e-01,6.015540e-01,6.102600e-01,4.407617e-03,2.280000e-02,-5.420000e-06,1.269002e-07,5.440000e-06,1.086000e-05,7.711100e+00,2.878800e+00,2.848900e+00,4.901812e+00,7.711100e+00,1.645218e+00,4.862200e+00,-4.232000e-04,-4.832294e-05,4.690000e-05,4.701000e-04,3.298200e+01,2.974900e+02,9.706700e-02,1.550169e+02,3.592900e+02,1.565079e+02,3.591929e+02,-6.650000e-03,2.645079e-03,3.591929e-01,3.658429e-01,2.751900e+02,1.015600e+01,3.609100e+00,2.812604e+02,3.589600e+02,8.272867e+01,3.553509e+02,-3.553509e-01,-2.650341e-03,7.030000e-03,3.623809e-01
K13GD7H, True,  Resonant,3.944000e+01,3.946100e+01,3.929000e+01,3.939613e+01,3.952000e+01,7.592162e-02,2.300000e-01,-4.300000e-05,2.101000e-07,3.900000e-05,8.200000e-05,2.281200e-01,2.277900e-01,2.247300e-01,2.268387e-01,2.291500e-01,1.350211e-03,4.420000e-03,-9.000000e-07,-3.297890e-09,8.300000e-07,1.730000e-06,1.346800e+01,1.344400e+01,1.344100e+01,1.346153e+01,1.348400e+01,1.118748e-02,4.300000e-02,-6.000000e-06,-2.400130e-07,6.000000e-06,1.200000e-05,3.574100e+01,2.729300e+01,2.729300e+01,3.154605e+01,3.574100e+01,2.463257e+00,8.448000e+00,-1.190000e-04,-8.447996e-05,-6.900000e-05,5.000000e-05,1.525500e+02,1.476000e+02,1.476000e+02,1.500959e+02,1.525500e+02,1.427112e+00,4.950000e+00,-1.400000e-04,-4.950035e-05,5.000000e-05,1.900000e-04
K13GD7E, True,  Resonant,3.933500e+01,3.927400e+01,3.925600e+01,3.940034e+01,3.956000e+01,1.024684e-01,3.040000e-01,-5.500000e-05,-6.098840e-07,5.900000e-05,1.140000e-04,2.567500e-01,2.581800e-01,2.556700e-01,2.587248e-01,2.621000e-01,1.688666e-03,6.430000e-03,-1.030000e-06,1.430114e-08,1.060000e-06,2.090000e-06,3.866300e+00,3.688900e+00,3.688900e+00,3.776455e+00,3.866300e+00,5.228125e-02,1.774000e-01,-4.500000e-06,-1.774003e-06,5.000000e-07,5.000000e-06,3.138600e+01,2.160200e+01,2.160200e+01,2.671093e+01,3.138600e+01,2.839149e+00,9.784000e+00,-1.710000e-04,-9.783989e-05,-6.300000e-05,1.080000e-04,1.367900e+02,1.389900e+02,1.367600e+02,1.376480e+02,1.390600e+02,6.523515e-01,2.300000e+00,-8.000000e-05,2.200020e-05,2.400000e-04,3.200000e-04
K13GD7J, True,  Resonant,3.949500e+01,3.950700e+01,3.927700e+01,3.939968e+01,3.953000e+01,8.521887e-02,2.530000e-01,-4.600000e-05,1.200400e-07,5.500000e-05,1.010000e-04,2.667000e-01,2.694000e-01,2.639900e-01,2.667464e-01,2.696000e-01,1.382346e-03,5.610000e-03,-7.300000e-07,2.700038e-08,9.600000e-07,1.690000e-06,1.687300e+01,1.644200e+01,1.644200e+01,1.666241e+01,1.687300e+01,1.254068e-01,4.310000e-01,-1.000000e-05,-4.310022e-06,0.000000e+00,1.000000e-05,4.249100e+01,3.364500e+01,3.364500e+01,3.810880e+01,4.249100e+01,2.573496e+00,8.846000e+00,-1.210000e-04,-8.846009e-05,-7.098580e-05,5.001420e-05,2.309300e+02,2.337100e+02,2.309000e+02,2.322170e+02,2.337100e+02,7.981657e-01,2.810000e+00,-6.999300e-05,2.780064e-05,1.400000e-04,2.099930e-04
K13GD6W, True,  Resonant,4.774100e+01,4.792500e+01,4.753200e+01,4.772659e+01,4.793400e+01,1.368773e-01,4.020000e-01,-5.100000e-05,1.840217e-06,1.220244e-04,1.730244e-04,3.440300e-01,3.449000e-01,3.402400e-01,3.431340e-01,3.461200e-01,1.727585e-03,5.880000e-03,-7.300000e-07,8.702741e-09,1.600320e-06,2.330320e-06,6.660100e+00,6.775200e+00,6.660100e+00,6.715598e+00,6.775200e+00,3.326699e-02,1.151000e-01,0.000000e+00,1.150998e-06,2.000000e-06,2.000000e-06,2.193200e+02,2.124000e+02,2.124000e+02,2.158611e+02,2.193200e+02,1.997165e+00,6.920000e+00,-1.300000e-04,-6.920012e-05,-4.000000e-05,9.000000e-05,3.558500e+01,3.743400e+01,3.558500e+01,3.656331e+01,3.752400e+01,5.737961e-01,1.939000e+00,-5.400000e-05,1.848989e-05,9.700000e-05,1.510000e-04
K13GD7L, True,  Resonant,3.925800e+01,3.929800e+01,3.922400e+01,3.939458e+01,3.957800e+01,1.300590e-01,3.540000e-01,-7.200000e-05,4.001331e-07,7.300000e-05,1.450000e-04,1.994900e-01,2.000200e-01,1.983800e-01,2.016513e-01,2.052000e-01,2.341048e-03,6.820000e-03,-1.480000e-06,5.302551e-09,1.460000e-06,2.940000e-06,1.044000e+01,1.005700e+01,1.005700e+01,1.024996e+01,1.044000e+01,1.104380e-01,3.830000e-01,-7.000000e-06,-3.829995e-06,1.000000e-06,8.000000e-06,4.449300e+01,3.413300e+01,3.413300e+01,3.928969e+01,4.449300e+01,3.020508e+00,1.036000e+01,-1.510000e-04,-1.036001e-04,-7.600000e-05,7.500000e-05,2.351100e+02,2.274600e+02,2.274600e+02,2.313162e+02,2.351100e+02,2.200232e+00,7.650000e+00,-1.800000e-04,-7.650018e-05,7.000000e-05,2.500000e-04
K13GD7G, True,  Resonant,3.933300e+01,3.946300e+01,3.929200e+01,3.940575e+01,3.952300e+01,7.878903e-02,2.310000e-01,-4.000000e-05,1.300088e-06,4.000000e-05,8.000000e-05,1.353700e-01,1.467500e-01,1.343800e-01,1.412085e-01,1.481500e-01,3.515432e-03,1.377000e-02,-1.070000e-06,1.138025e-07,1.330000e-06,2.400000e-06,2.391600e+00,2.235800e+00,2.235800e+00,2.325094e+00,2.391600e+00,4.609535e-02,1.558000e-01,-3.000000e-06,-1.557998e-06,-3.000000e-07,2.700000e-06,9.606600e+01,9.031900e+01,9.031900e+01,9.316089e+01,9.606600e+01,1.695961e+00,5.747000e+00,-7.500000e-05,-5.746997e-05,-3.700000e-05,3.800000e-05,7.402700e+01,3.234800e+01,3.234800e+01,5.291122e+01,7.402700e+01,1.214159e+01,4.167900e+01,-5.090000e-04,-4.167898e-04,-2.410000e-04,2.680000e-04
K13GD7D, True,  Resonant,3.937100e+01,3.950200e+01,3.930100e+01,3.940273e+01,3.951400e+01,7.315221e-02,2.130000e-01,-3.700000e-05,1.310087e-06,3.700000e-05,7.400000e-05,1.036800e-01,1.155200e-01,1.010300e-01,1.078678e-01,1.155200e-01,3.612813e-03,1.449000e-02,-1.240000e-06,1.184036e-07,1.390000e-06,2.630000e-06,6.942100e+00,7.465500e+00,6.942100e+00,7.193983e+00,7.465500e+00,1.536678e-01,5.234000e-01,-8.000000e-07,5.233986e-06,9.299070e-06,1.009907e-05,2.044400e+02,1.926000e+02,1.926000e+02,1.987398e+02,2.044400e+02,3.479944e+00,1.184000e+01,-1.700000e-04,-1.183999e-04,-8.000000e-05,9.000000e-05,3.522600e+02,2.903300e+02,2.903300e+02,3.205965e+02,3.522600e+02,1.798868e+01,6.193000e+01,-8.000800e-04,-6.193001e-04,-4.300000e-04,3.700800e-04
K13GD6Y, True,  Resonant,5.553500e+01,5.549300e+01,5.521100e+01,5.539109e+01,5.556700e+01,1.242770e-01,3.560000e-01,-6.900000e-05,-4.199461e-07,6.600000e-05,1.350000e-04,4.141000e-01,4.132500e-01,4.104300e-01,4.123805e-01,4.143000e-01,1.249112e-03,3.870000e-03,-7.300000e-07,-8.499131e-09,6.500000e-07,1.380000e-06,1.087700e+01,1.099200e+01,1.087700e+01,1.093664e+01,1.099200e+01,3.299762e-02,1.150000e-01,-1.000000e-06,1.149996e-06,4.000000e-06,5.000000e-06,2.210200e+02,2.173600e+02,2.173600e+02,2.191747e+02,2.210200e+02,1.068089e+00,3.660000e+00,-6.000000e-05,-3.660004e-05,-2.000000e-05,4.000000e-05,4.398400e+01,4.581100e+01,4.398400e+01,4.491976e+01,4.581100e+01,5.310788e-01,1.827000e+00,-1.200000e-05,1.827012e-05,7.100000e-05,8.300000e-05
K13GD6O, True, Classical,3.876700e+01,3.877500e+01,3.876200e+01,3.878414e+01,3.882300e+01,1.569513e-02,6.100000e-02,-5.400000e-05,7.978201e-08,4.900000e-05,1.030000e-04,6.033000e-02,5.881000e-02,5.873100e-02,6.037301e-02,6.279800e-02,9.725408e-04,4.067000e-03,-2.421000e-06,-1.520755e-08,2.170000e-06,4.591000e-06,2.427600e+01,2.394200e+01,2.393900e+01,2.411268e+01,2.427600e+01,9.850777e-02,3.370000e-01,-1.400000e-05,-3.340015e-06,8.000000e-06,2.200000e-05,3.913800e+01,2.721100e+01,2.721100e+01,3.319997e+01,3.913800e+01,3.483418e+00,1.192700e+01,-1.580000e-04,-1.192700e-04,-7.300000e-05,8.500000e-05,1.488800e+02,1.706600e+02,1.476500e+02,1.595443e+02,1.713300e+02,6.596440e+00,2.368000e+01,-1.480000e-03,2.178009e-04,2.470000e-03,3.950000e-03
